order_id,member_id,reservation_id,order_time,total_price,payment_status
1,3,1,9:43 AM,10.00,PAID
2,7,3,11:50 AM,6.00,PAID
3,12,11,9:49 AM,4.50,PAID
4,5,7,10:57 AM,13.00,PAID
5,18,15,10:11 AM,9.00,UNPAID
6,1,4,12:37 PM,2.00,PAID
7,9,5,2:20 PM,11.00,PAID
8,14,19,12:58 PM,7.00,UNPAID
9,6,12,11:28 AM,18.00,PAID
10,20,2,11:09 AM,7.50,PAID
11,2,9,1:52 PM,2.50,PAID
12,11,2,11:18 AM,50.00,PAID
13,8,18,10:27 AM,6.50,UNPAID
14,15,8,12:33 PM,3.25,PAID
15,4,16,11:28 AM,11.25,UNPAID
16,17,10,4:20 PM,12.00,PAID
17,13,6,9:34 AM,13.50,PAID
18,10,14,2:39 PM,3.50,PAID
19,7,3,11:48 AM,6.00,PAID
20,19,13,1:10 PM,22.50,PAID
