record_id,pet_id,staff_id,record_date,record_type,notes,next_due_date,status
1,3,5,06-12-2025,Wellness,Routine wellness check,07-03-2025,ACTIVE
2,7,12,07-01-2025,Treatment,Minor wound treated,07-22-2025,ACTIVE
3,1,1,06-20-2025,Vaccination,Rabies booster administered,07-11-2025,VOID
4,5,17,07-18-2025,Wellness,Weight and diet reviewed,08-08-2025,ACTIVE
5,2,2,06-25-2025,Treatment,Flea treatment applied,07-16-2025,ACTIVE
6,4,6,06-15-2025,Emergency,Emergency: allergic reaction,07-06-2025,CORRECTED
7,10,20,06-22-2025,Wellness,Dental exam performed,07-13-2025,ACTIVE
8,3,15,07-08-2025,Vaccination,Distemper booster given,07-29-2025,ACTIVE
9,6,11,06-28-2025,Treatment,Deworming completed,07-19-2025,ACTIVE
10,1,18,07-05-2025,Wellness,Heart rate and vitals normal,07-26-2025,CORRECTED
11,8,2,07-03-2025,Wellness,Skin irritation treated,07-24-2025,VOID
12,12,14,07-12-2025,Surgery,Spay surgery completed,08-02-2025,ACTIVE
13,5,12,07-22-2025,Vaccination,Feline leukemia vaccine administered,08-12-2025,CORRECTED
14,9,1,07-05-2025,Wellness,Follow-up after minor injury,07-26-2025,ACTIVE
15,11,6,07-10-2025,Treatment,Ear infection treated,07-31-2025,VOID
16,14,18,07-17-2025,Emergency,Emergency: broken nail,08-07-2025,ACTIVE
17,17,17,07-25-2025,Vaccination,Annual wellness check,08-15-2025,ACTIVE
18,20,5,08-02-2025,Wellness,Follow-up exam,08-23-2025,CORRECTED
19,15,20,07-20-2025,Treatment,Minor injury bandaged,08-10-2025,ACTIVE
20,13,15,07-15-2025,Wellness,Check-up after vaccination,08-05-2025,ACTIVE
