reservation_id,member_id,room_id,reservation_date,start_time,duration_minutes,status,check_in_time,check_out_time,tier_id
1,4,6,12-02-2025,9:15 AM,75,COMPLETED,9:21 AM,10:32 AM,3
2,9,13,12-02-2025,10:45 AM,90,COMPLETED,10:39 AM,12:13 PM,1
3,1,2,12-02-2025,11:30 AM,105,COMPLETED,11:37 AM,1:17 PM,1
4,16,12,12-02-2025,12:15 PM,60,COMPLETED,12:08 PM,1:14 PM,1
5,7,10,12-02-2025,1:45 PM,75,COMPLETED,1:52 PM,2:59 PM,1
6,12,17,12-03-2025,9:00 AM,115,COMPLETED,8:53 AM,10:57 AM,3
7,3,8,12-03-2025,10:30 AM,75,COMPLETED,10:36 AM,11:43 AM,1
8,18,15,12-03-2025,12:00 PM,75,COMPLETED,12:07 PM,1:16 PM,1
9,5,11,12-03-2025,1:30 PM,120,COMPLETED,1:24 PM,3:32 PM,2
10,14,19,12-03-2025,3:45 PM,90,COMPLETED,3:53 PM,5:13 PM,2
11,2,5,12-04-2025,9:15 AM,60,COMPLETED,9:10 AM,10:17 AM,1
12,11,20,12-04-2025,11:00 AM,90,COMPLETED,11:08 AM,12:32 PM,1
13,6,6,12-04-2025,12:45 PM,130,COMPLETED,12:39 PM,2:56 PM,1
14,19,12,12-04-2025,2:15 PM,105,COMPLETED,2:22 PM,3:58 PM,2
15,8,13,12-05-2025,9:45 AM,75,COMPLETED,9:49 AM,10:59 AM,3
16,20,2,12-05-2025,11:00 AM,90,COMPLETED,11:03 AM,12:28 PM,1
17,10,16,12-05-2025,1:15 PM,105,COMPLETED,1:22 PM,3:02 PM,2
18,15,11,12-06-2025,9:45 AM,115,BOOKED,9:39 AM,11:42 AM,1
19,13,17,12-06-2025,12:30 PM,75,BOOKED,12:35 PM,1:43 PM,1
20,2,8,12-07-2025,3:15 PM,140,BOOKED,3:07 PM,5:37 PM,2
